w0
0weven despite asking less rice mentaiko amounts generous filled umami
1wlittle bigger expected mentaiko fries didn’t disappoint
2w"probably need work abit making rice w sauce tasty would perfect 👍"
3w"ordered spicy salmon mentai tad spicy taste good little plain good comes seaweed pickled ginger like serve japan isit much “char” taste although torched mentaiko mayo sauce top salmon there’s teriyaki sauce drizzled white jasmine rice"
4w"hard undercooked ricethe standard seem constant sometime alright sometime goodtoday nov standard quite bad bought chicken salmon mentai rice undercooked hardchicken tender dry seem quite smalllucky today salmon alright today someday drynot worth price"
5w"ordered gyoza soft shell crab chicken salmon mentaiko donfor mentaiko salmon skin soggy portion size small side dishes eg shredded cabbage seasoned seaweed plain rice protein mentaiko sauce mentaiko sauce mainly mayo saltish side mentaiko burnt enough called aburi reason turn jelat end meal side dishes mitigate jelatnessnot worth price due quality portion sizefor gyoza slightly dryfor soft shell crab totally dry crab size smallboth side dishes worth tryingoverall overhyped place offers disappointing mealwilling try improvewill follow based others google review"
6w"ordered mentaiko salmon mentaiko amount generous satisfied mentaiko cravings 😋😋 gyoza nice crispy chicken cutlet thick it’s quite dry would recommend mentaiko salmon"
7w"decided try mentaiya since nearby ordered mentai salmon dons taste great salty overcooked wonderful dinner hope business prospers unethical competitors wont last long need worry much good job keep good work"
8w"came many times affordable pricing place new cleansalmon mentai eachtamago mentai yaki mentai fries"
9w"decided try food pretty good value personally tried chicken katsu curry despite using chicken fillet tender one expect curry nice neither sweet spicy generous servings mentaiko sauce would suit fine believe though little much sons liking worth checking tried"
10w"simple frills straight fried chicken mentai sauce service fast lunch time however chicken breast fillet used rather dry believe chicken thigh better combo definitely worth every buck"
11w"ordered several times since tampines outlet open portion price reasonable although daughter fan mentai fan chicken katsu looking forward variety future kudos team"
12w"looks good honestly doesn’t worth price hype chicken cutlet rice way price mentako fries also way overpriced due sauce little would recommend go genki sushi insteadyou try won’t return notworth eatsomethingelse feelcheated"
13wordered salmon chicken mentaiya rice salmon fish felt full mayonnaise mentai sauce spoonful couldn’t stomach longercompletely different ones found japanese restaurants little fish roe mental utterly disappointing
14w"time tried spicy mentai salmon quite like find portion rather small however time ordered spicy mentai chicken mentai fried disappointed find fries white soggy expecting golden brown crispy fried suppose share fries nephew nephew bite ewww"
15w"affordable pricing convenience daughter loves chicken katsu rice tamago 🥰🥰my comfort food long day busy week"
16w"ordered chicken katsu ate half threw rest away worst meal ever think microwave food taste better"
17w"good service shop made error ordering wrong outlet shop assisted make order despite busy dinner time informed outlet mishap cancel cuz food yummy"
18wplaced order foodpanda canceled order later
19wgood less portion exp😩disappointed
20wtried th� mentaiko chichen katsu meat smooth like butter sia mentaiko heavy rice good i’ll come back try curry chicken katsu😋
21w"quite excited japanese stall opened place went chicken salmon mentai first kudos person cooked rice today dec perfect rice initial fear mentai sauce might overwhelming turned subtle overly saltish love although salmon dry still prefer crispy chicken"
22wfood bit x though
23w"mentaiya located inside kopitiamreal life looks different advertised mothership photo mothership looks appetizing tho initially made went tryordered mentai salmon mentai katsu name says mentai mentaiko sauce given generouspreferred mentai katsu salmon rather drymy personal rating mentai katsu mentai salmonvisited aug"
24w"queue sunday lunch time decided try portion food small find price pricy quality portion added much water rice rice becomes stickyno wonder hype"
25wfood alright nothing special mentaiko good menu items limited
