w0
0wsukiyaki beef good spicy garlic pork cutlet good prom belly katsu good thunder fries mentai sauce sibei good
1wdelicious food prompt delivery excellent service üíØüíØüíØ
2wdefinitely surprise find punggol really affordable japanese food kptpeople behind counter really nice friendlyordered pork belly katsu katsu platter extra serving rice onsen egg less üòúüòúfood point portions bigsurely coming back
3w"groupbuy communication good arrived hot hot portion quite generous well give try"
4w"awesome pplawesome food üòÅ"
5w"good jap food affordable pricingnot mention improved significantly waiting time"
6w"best best best jap hawker style food ever üëçüëçüëçüëç"
7wpork belly katsu delicious ingredients use fresh recommended colleagues next lunch choice
8w"yummzzz unexpectedly good love chicken karaage wcurry sauce"
9wfood fantastic fresh ingredient yummyüòãüòã must try
10wfresh ingredients authentic special cuisines delicate personal touchüòãüòãüòã
11w"photo doesn‚Äôt dish justice char pork perfectly cook rice still good bite mention sauces complemented dish super well gem marine parade central market hawker guys stall super nice friendly"
12w"oh stars look golden crust encasing glistening piece meat pity already soggy time received expected pork belly fatty tender lean still tasty soft scrambled eggs onion perfectly cooked howeverii wish least sauce go along plentiful rice belowburppletakeawaystaste"
13w"salad hawker stall japanesestyle consider sold chunks fresh local tomatoes japanese cucumber dressed goma sauce primary components makes little special translucent strings white onion lightly pickled take away rawness unexpected welcome segments sweet mandarin savoury sprinkling furikake finish lend depth flavour texture something could ended afterthoughttaste"
14w"impressive well marinated tender"
15wguys stall super nice friendly
16wimpressed pork belly katsu opted
17wchunks fresh local tomatoes japanese cucumber dressed goma sauce primary components
18w"left pretty impressed offer ó execution eggs particularly noteworthy"
19wbeef tender unctuous
20wquite interested thunder crunchy fries comes either homemade curry sauce mentaiko sauce ó something pretty keen try subsequent visit
21w"japanese spicy powder also sprinkled top provide donburi slight hint spiciness ó enough tickle tastebuds without overwhelming entire dish"
22welement sealed deal us runny egg simmered dashi broth alongside onions ó incredibly runny silky
23wsoft scrambled eggs onion perfectly cooked
24wevery bite flavour packed
25w"always respected younger generation venture hawker industry definitely particular hawker attitude never patronise shop anymore"
26wgood place
27wgood
28w"always wanted try stall marine parade hawker center always closed little realise operating hours till sold closed monday itís quite complicating anyway food ordered spicy garlic pork collar w onsen egg homemade chicken karaage w curry sauce spicy garlic pork collar soso amount price slightly pricey karaage curry sauce hand really nice light crispy chicken tender inside goes well curry sauce although curry sauce tastes like mcdonaldís overall decent food slightly high prices"
29wok
30w"decent delicious donburi finally chance try itís always opened iím area managed buy try different dons four pretty good"
31wpretty good donburi cheap price rice doesnt taste japanese unfortunately
32w"humble stall hawker centre far ecp good effort run youngsters food badiíll visit iím area wonít queue line longhappy support young entrepreneurs"
33wordered pork belly katsu good texture taste could complimentary miso soup
34wtry pork belly katsu itís soft tender fries also crispy potatoey great curry sauce
35wsukiyaki beef goto order fukudon tasty affordable
36w"already long queue arrived store opened queue started stall opened prepared wait ordered short plate beef bowl tonkatsu bowl katsu platter thunder crunchy fries share among pax katsu platter tonkatsu bowl nicely executed deep fried items though felt slightly much fried stuff towards end beef bowl much lighter went well onsen egg rice bowls bit heavy thunder crunchy fries live name crispness comes nice though unique dip"
37wkaraage super sexy freshly fried crispy donburi really good affordable definitely come comfort food
38w"patronising stall months friends food always standard itís definitely worth price portion good dollar double portion chicken good people trying clock proteinps iíve read reviews think youíve please give try cause imo itís definitely worth kudos chefstaff service maybe slightly improved overall food makes happy girl"
39w"takeaway pork belly added beef taste texture good portion enough price fair quality portion recommend whoever area try store would come back try dining hawker imagine fantastic food would eating fresh kitchen"
40w"food awesome chef remus even provided delivery personallychicken katsu mentaiko must try"
41w"love salmon always request add egg comes generous portion tomato oranges sounds weird combo delicioustheir salmon must try"
42w"ordered reservist food received packed well still tasted delicious free delivery orders minimum order amount starts delivery fee islandwidemenu diverse definitely something everyone ordered blackboard menu special satay pork collar achar egg floss pork tasty tender definitely come backheard opening outlet punggol soon canít wait fukudon hood"
43w"generous servings super tasty pork belly beef price reasonable friendly young hawkers come back"
44w"familyís latest favorite donburi place restaurant standard hawker center price"
45w"awesome food affordable highly recommended"
46w"tasty got pork belly donburi karaage time worth wait love close home"
47w"great food even better prices tastes superb huge portions happy support team young hawkers"
48wnice delicious also affordable pricedefinitely go back eat
49w"ordered karage homemade curry karage tasted really good super crispy outside moist inside curry went well okay rice topped rice meal costed come back next time"
50wlove spicy pork collar restaurant quality food court price
51wfriendly proprietors food decent one best potato salads tried
52wreally good food clean healthy love potato salad must try
53wfood good fair share portion highly recommended
54w"awesome food price highly affordable masses surely return"
55w"food fantastic tastydefinitely wonít disappointmentoveralls"
56wfukudonís food really good super value money
57wcheap price taste nice
58w"good food tasty japanese food think price really worth get"
59wfood nice costly
60w"new asian fuision eating place sell donburimade love passion chef remus bringing nostalgic deep flavours bring happiness eatswill update detail"
61wfood nice affordable
62wfantastic food competitive price
63wvalue quality
64winspiring success
65wordered chicken oyakodon sukiyaki beef short plate first time generous portion itís delicious affordable gem hidden heartlands
66wdishes served delightful taste buds thereís impressive variety menu items making perfect venue curb japanese cravings
67w"fresh salad super tasty wagyo onigiri must try"
